"","BalusC","Marc Gravell","Jon Skeet","Hans Passant","Darin Dimitrov"
"abbcabc",0.0,0.0,0.0,0.0,0.0869676152761377
"abbcaca",0.0,0.0,0.0,0.0,0.0869676152761377
"abbcbab",0.13430464161924055,0.0,0.0,0.0,0.0
"abbcbba",0.0,0.0841395791953704,0.0,0.0,0.0
"abbccaa",0.0,0.0,0.3988409440238964,0.0,0.0
"abbccac",0.0,0.0,0.0,0.0,0.0869676152761377
"abcaaca",0.0,0.0,0.0,0.08687557418043507,0.0
"abcacaa",0.0,0.0,0.0997102360059741,0.0,0.0
"abcacab",0.0,0.0841395791953704,0.0,0.0,0.0
"abcacbc",0.0,0.0,0.0997102360059741,0.0,0.0
"abcbaca",0.0,0.0,0.0,0.0,0.0869676152761377
"abcbbaa",0.0,0.04790263482976461,0.0,0.0,0.04951270206515967
"abcbbab",0.0,0.0841395791953704,0.0,0.0,0.0
"abcbbac",0.04262746130172668,0.026705381235166435,0.0,0.0,0.027602982368972098
"abcbbba",0.0,0.0,0.0,0.0,0.0869676152761377
"abcbcaa",0.0,0.0,0.1703021242747064,0.0,0.04951270206515967
"abcbcab",0.07646278083338544,0.0,0.0,0.0,0.04951270206515967
"abcbcac",0.0,0.04790263482976461,0.0,0.04946030091175555,0.0
"abcbcba",0.0,0.0,0.0997102360059741,0.0,0.0
"abcbccb",0.0,0.0,0.0,0.0,0.0869676152761377
"abccaaa",0.0,0.0,0.0997102360059741,0.0,0.0
"abccaab",0.0,0.026705381235166435,0.03164741125463665,0.05514753819068673,0.0
"abccaba",0.0,0.04790263482976461,0.0,0.0,0.04951270206515967
"abccabb",0.07646278083338544,0.0,0.0,0.0,0.04951270206515967
"abccacb",0.0,0.0841395791953704,0.0,0.0,0.0
"abccbaa",0.0,0.14370790448929383,0.11353474951647093,0.0,0.0
"abccbac",0.0,0.0,0.0,0.0,0.0869676152761377
"abccbba",0.0,0.08011614370549931,0.03164741125463665,0.0,0.027602982368972098
"abccbca",0.13430464161924055,0.0,0.0,0.0,0.0
"abcccba",0.0,0.0,0.1994204720119482,0.0,0.0
"acaaabc",0.0,0.0841395791953704,0.0,0.0,0.0
"acaabcb",0.0,0.0841395791953704,0.0,0.0,0.0
"acaabcc",0.0,0.0,0.0,0.0,0.0869676152761377
"acaacaa",0.0,0.0,0.0,0.0,0.0869676152761377
"acaaccb",0.0,0.0,0.0,0.0989206018235111,0.04951270206515967
"acabacb",0.0,0.0,0.0,0.08687557418043507,0.0
"acabbcc",0.0,0.0,0.0,0.08687557418043507,0.0
"acabcca",0.0,0.0,0.0,0.0,0.0869676152761377
"acacbaa",0.0,0.0,0.0,0.0,0.0869676152761377
"acacbab",0.0,0.0841395791953704,0.0,0.0,0.0
"acacbbc",0.0,0.0,0.0,0.08687557418043507,0.0
"acacbcb",0.0,0.0,0.0,0.08687557418043507,0.0
"acacbcc",0.0,0.0,0.0,0.0,0.0869676152761377
"acaccaa",0.0,0.0,0.0997102360059741,0.0,0.0
"acaccba",0.0,0.0,0.0997102360059741,0.0,0.0
"acbaacb",0.0,0.04790263482976461,0.0,0.0,0.09902540413031934
"acbabab",0.0,0.0,0.0,0.0,0.0869676152761377
"acbabca",0.0,0.0,0.0,0.0,0.0869676152761377
"acbacaa",0.0,0.0,0.0,0.08687557418043507,0.0
"acbacca",0.0,0.0,0.0,0.0,0.0869676152761377
"acbaccc",0.0,0.0,0.0,0.0,0.0869676152761377
"acbbaba",0.0,0.04790263482976461,0.0,0.0,0.04951270206515967
"acbbaca",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"acbbbaa",0.0,0.0,0.0,0.0,0.0869676152761377
"acbbbac",0.0,0.0841395791953704,0.0,0.0,0.0
"acbbcaa",0.04262746130172668,0.05341076247033287,0.03164741125463665,0.0,0.0
"acbbcab",0.0,0.011665690464158813,0.013824513510496838,0.012045027643076049,0.012057788854181652
"acbbcac",0.0,0.0,0.0997102360059741,0.0,0.0
"acbbcbb",0.0,0.0,0.0,0.0,0.0869676152761377
"acbcaaa",0.0,0.0,0.05676737475823546,0.0,0.04951270206515967
"acbcaba",0.0,0.0,0.0,0.0,0.0869676152761377
"acbcabc",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"acbcaca",0.0,0.0,0.0,0.08687557418043507,0.0
"acbcbaa",0.0,0.0,0.11353474951647093,0.0,0.04951270206515967
"acbcbab",0.0,0.0,0.0997102360059741,0.0,0.0
"acbccaa",0.01862092004753036,0.011665690464158813,0.027649027020993675,0.0,0.012057788854181652
"acbccab",0.13430464161924055,0.0,0.0,0.0,0.0
"accaaaa",0.0,0.0,0.0,0.0,0.0869676152761377
"accaaac",0.0,0.0,0.0,0.0,0.0869676152761377
"accaaba",0.0,0.0841395791953704,0.0,0.0,0.0
"accaabb",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"accaaca",0.0,0.04790263482976461,0.05676737475823546,0.0,0.0
"accaacb",0.0,0.0,0.0,0.08687557418043507,0.0
"accabaa",0.13430464161924055,0.0,0.0,0.0,0.0
"accabab",0.0,0.0,0.11353474951647093,0.0,0.04951270206515967
"accabac",0.0,0.0841395791953704,0.0,0.0,0.0
"accabba",0.0,0.04790263482976461,0.0,0.0989206018235111,0.0
"accabbb",0.0,0.04790263482976461,0.0,0.0,0.04951270206515967
"accabcb",0.0,0.0,0.0,0.0,0.0869676152761377
"accacaa",0.0,0.026705381235166435,0.03164741125463665,0.027573769095343367,0.0
"accacba",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"accbaaa",0.0,0.0,0.0,0.0,0.0869676152761377
"accbaab",0.2686092832384811,0.0,0.0,0.0,0.0
"accbaac",0.13430464161924055,0.0,0.0,0.0,0.0
"accbaba",0.0,0.0,0.0,0.17375114836087013,0.0
"accbbaa",0.01862092004753036,0.011665690464158813,0.041473540531490515,0.012045027643076049,0.0
"accbbab",0.0,0.0,0.0,0.0,0.0869676152761377
"accbbac",0.13430464161924055,0.0,0.0,0.0,0.0
"accbbba",0.0,0.0,0.0,0.0,0.0869676152761377
"accbcaa",0.0,0.0,0.0997102360059741,0.0,0.0
"accbcab",0.0,0.0,0.0,0.08687557418043507,0.0
"accbcba",0.07646278083338544,0.0,0.0,0.04946030091175555,0.0
"acccaaa",0.0,0.0,0.05676737475823546,0.0,0.09902540413031934
"acccbaa",0.05586276014259108,0.011665690464158813,0.041473540531490515,0.012045027643076049,0.0
"acccbab",0.0,0.0,0.0,0.0,0.0869676152761377
"accccaa",0.04262746130172668,0.026705381235166435,0.09494223376390996,0.0,0.0
"accccab",0.0,0.0841395791953704,0.0,0.0,0.0
"baaaccc",0.0,0.0,0.0,0.0,0.1739352305522754
"baabacb",0.0,0.0,0.0,0.0,0.0869676152761377
"baabacc",0.0,0.0,0.0,0.0,0.0869676152761377
"baabbbc",0.0,0.0,0.0997102360059741,0.0,0.0
"baabbcb",0.0,0.0841395791953704,0.0,0.0,0.0
"baacabb",0.0,0.0,0.0,0.0,0.0869676152761377
"baacacc",0.0,0.04790263482976461,0.0,0.0,0.04951270206515967
"baaccba",0.0,0.0841395791953704,0.0,0.0,0.0
"baaccca",0.0,0.0,0.0,0.0,0.0869676152761377
"babaabc",0.0,0.0841395791953704,0.0,0.0,0.0
"babaacb",0.0,0.0,0.0,0.0,0.0869676152761377
"babaccb",0.0,0.0841395791953704,0.0,0.0,0.0
"babbaac",0.0,0.0,0.0,0.0,0.0869676152761377
"babbbac",0.0,0.0841395791953704,0.0,0.0,0.0
"babbcca",0.0,0.0,0.0,0.0,0.0869676152761377
"babcbba",0.0,0.0841395791953704,0.0,0.0,0.0
"babccaa",0.0,0.04790263482976461,0.05676737475823546,0.0,0.0
"babccba",0.0,0.0,0.0,0.0,0.0869676152761377
"bacaabc",0.0,0.0,0.0,0.0,0.0869676152761377
"bacaaca",0.0,0.0,0.0,0.0,0.0869676152761377
"bacabcb",0.0,0.0,0.0,0.0,0.0869676152761377
"bacacab",0.0,0.0,0.0,0.0,0.0869676152761377
"bacacba",0.0,0.0,0.0,0.08687557418043507,0.0
"bacacca",0.0,0.0841395791953704,0.0,0.0,0.0
"bacbacb",0.0,0.0,0.0,0.0,0.0869676152761377
"bacbbaa",0.0,0.0,0.0997102360059741,0.0,0.0
"bacbbac",0.0,0.0841395791953704,0.0,0.0,0.0
"bacbbca",0.0,0.04790263482976461,0.0,0.0,0.04951270206515967
"bacbcaa",0.07646278083338544,0.04790263482976461,0.0,0.0,0.0
"bacbcac",0.0,0.0841395791953704,0.0,0.0,0.0
"bacbcba",0.0,0.0,0.0,0.0,0.0869676152761377
"baccaab",0.0,0.0841395791953704,0.0,0.0,0.0
"baccbaa",0.13430464161924055,0.0,0.0,0.0,0.0
"baccbab",0.0,0.0,0.0,0.08687557418043507,0.0
"baccbba",0.07646278083338544,0.0,0.0,0.04946030091175555,0.0
"bacccaa",0.15292556166677088,0.09580526965952922,0.0,0.0,0.0
"bacccba",0.0,0.0841395791953704,0.0,0.0,0.0
"bbaabac",0.0,0.0,0.0,0.0,0.0869676152761377
"bbaaccb",0.0,0.0,0.0,0.0,0.0869676152761377
"bbaaccc",0.0,0.0,0.0,0.08687557418043507,0.0
"bbabcca",0.0,0.0,0.0,0.0,0.0869676152761377
"bbacbaa",0.13430464161924055,0.0,0.0,0.0,0.0
"bbacbab",0.0,0.0,0.0997102360059741,0.0,0.0
"bbbabac",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"bbbacab",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"bbbbaac",0.0,0.0,0.0,0.0,0.0869676152761377
"bbbbacb",0.0,0.0,0.0,0.08687557418043507,0.0
"bbbbbbc",0.0,0.0,0.0,0.0989206018235111,0.04951270206515967
"bbbbbcb",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"bbbbcaa",0.07646278083338544,0.0,0.0,0.04946030091175555,0.0
"bbbbcba",0.0,0.0841395791953704,0.0,0.0,0.0
"bbbbcbb",0.0,0.0,0.0,0.08687557418043507,0.0
"bbbcaab",0.0,0.0,0.0,0.08687557418043507,0.0
"bbbcaac",0.0,0.0,0.0,0.0,0.0869676152761377
"bbbcaba",0.0,0.0841395791953704,0.0,0.0,0.0
"bbbcabc",0.0,0.0,0.0,0.0,0.0869676152761377
"bbbcbaa",0.22938834250015636,0.04790263482976461,0.0,0.0,0.0
"bbbcbbb",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"bbbcbca",0.0,0.0,0.0,0.0,0.0869676152761377
"bbbccaa",0.01862092004753036,0.0,0.0691225675524842,0.012045027643076049,0.012057788854181652
"bbbccab",0.0,0.0841395791953704,0.0,0.0,0.0
"bbbccba",0.0,0.0,0.1994204720119482,0.0,0.0
"bbcaabb",0.0,0.0,0.0,0.0,0.0869676152761377
"bbcaaca",0.0,0.0,0.0,0.0,0.1739352305522754
"bbcabaa",0.0,0.0,0.0,0.08687557418043507,0.0
"bbcabab",0.0,0.0841395791953704,0.0,0.0,0.0
"bbcabba",0.0,0.0,0.0,0.0,0.1739352305522754
"bbcacaa",0.04262746130172668,0.026705381235166435,0.03164741125463665,0.0,0.0
"bbcacab",0.0,0.0,0.0,0.08687557418043507,0.0
"bbcacba",0.13430464161924055,0.0,0.0,0.0,0.0
"bbcacca",0.04262746130172668,0.0,0.03164741125463665,0.027573769095343367,0.0
"bbcbaab",0.0,0.04790263482976461,0.05676737475823546,0.0,0.0
"bbcbaba",0.0,0.0,0.0,0.17375114836087013,0.0
"bbcbbaa",0.0,0.026705381235166435,0.0632948225092733,0.0,0.027602982368972098
"bbcbbbb",0.0,0.0,0.0,0.17375114836087013,0.0
"bbccaaa",0.0,0.05341076247033287,0.03164741125463665,0.0,0.027602982368972098
"bbccaab",0.0,0.09580526965952922,0.05676737475823546,0.0,0.0
"bbccaac",0.0,0.0,0.0,0.0,0.0869676152761377
"bbccaba",0.0,0.0841395791953704,0.0,0.0,0.0
"bbccbaa",0.07448368019012144,0.0,0.041473540531490515,0.012045027643076049,0.012057788854181652
"bbccbab",0.0,0.0841395791953704,0.0,0.0,0.0
"bbcccba",0.07646278083338544,0.0,0.0,0.0,0.04951270206515967
"bcaaacc",0.0,0.0,0.0,0.08687557418043507,0.0
"bcaabaa",0.0,0.0841395791953704,0.0,0.0,0.0
"bcaabbc",0.0,0.1682791583907408,0.0,0.0,0.0
"bcaabca",0.0,0.0,0.05676737475823546,0.0,0.04951270206515967
"bcaacaa",0.0,0.0,0.0,0.08687557418043507,0.0
"bcaacba",0.0,0.0,0.0,0.08687557418043507,0.0
"bcabaab",0.0,0.0,0.0,0.08687557418043507,0.0
"bcabaca",0.0,0.0,0.0,0.08687557418043507,0.0
"bcabbca",0.0,0.0,0.0,0.08687557418043507,0.0
"bcabcaa",0.0,0.0,0.0,0.08687557418043507,0.0
"bcabcba",0.07646278083338544,0.0,0.05676737475823546,0.0,0.0
"bcabcbc",0.0,0.0,0.0997102360059741,0.0,0.0
"bcabcca",0.13430464161924055,0.0,0.0,0.0,0.0
"bcacaaa",0.0,0.0,0.0997102360059741,0.0,0.0
"bcacaab",0.0,0.0,0.0997102360059741,0.0,0.0
"bcacaac",0.0,0.0,0.0,0.08687557418043507,0.0
"bcacabb",0.0,0.04790263482976461,0.0,0.04946030091175555,0.0
"bcacbaa",0.07646278083338544,0.0,0.05676737475823546,0.0,0.0
"bcacbab",0.0,0.0,0.0,0.08687557418043507,0.0
"bcacbac",0.0,0.1682791583907408,0.0,0.0,0.0
"bcacbba",0.0,0.0,0.0,0.17375114836087013,0.0
"bcacbcb",0.0,0.0,0.0,0.0,0.0869676152761377
"bcaccaa",0.13430464161924055,0.0,0.0,0.0,0.0
"bcaccba",0.13430464161924055,0.0,0.0,0.0,0.0
"bcbaaaa",0.0,0.0,0.0,0.0,0.0869676152761377
"bcbaaba",0.0,0.0,0.0997102360059741,0.0,0.0
"bcbaabb",0.13430464161924055,0.0,0.0,0.0,0.0
"bcbabaa",0.0,0.0,0.0997102360059741,0.0,0.0
"bcbabab",0.0,0.0,0.0997102360059741,0.0,0.0
"bcbabba",0.0,0.0,0.0997102360059741,0.0,0.0
"bcbacaa",0.0,0.04790263482976461,0.05676737475823546,0.0,0.0
"bcbbaaa",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"bcbbaab",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"bcbbaca",0.0,0.0,0.0,0.08687557418043507,0.0
"bcbbbaa",0.0,0.011665690464158813,0.013824513510496838,0.012045027643076049,0.012057788854181652
"bcbbbab",0.0,0.1682791583907408,0.0,0.0,0.0
"bcbbbac",0.0,0.0,0.0,0.0,0.0869676152761377
"bcbbbbb",0.0,0.0,0.0,0.08687557418043507,0.0
"bcbbcaa",0.15292556166677088,0.0,0.1703021242747064,0.0,0.0
"bcbbcab",0.0,0.0,0.0,0.08687557418043507,0.0
"bcbbcba",0.0,0.0,0.0,0.0,0.0869676152761377
"bcbcaaa",0.15292556166677088,0.0,0.05676737475823546,0.0,0.0
"bcbcaab",0.15292556166677088,0.0,0.0,0.0,0.09902540413031934
"bcbcabb",0.0,0.0,0.0997102360059741,0.0,0.0
"bcbcbab",0.0,0.0,0.0,0.08687557418043507,0.0
"bcbccaa",0.07646278083338544,0.0,0.22706949903294185,0.0,0.0
"bcbccba",0.0,0.0,0.0,0.0,0.0869676152761377
"bccaaaa",0.0,0.0,0.0,0.0,0.0869676152761377
"bccaaba",0.0,0.0,0.05676737475823546,0.0,0.04951270206515967
"bccaabb",0.0,0.0,0.0,0.0,0.0869676152761377
"bccabaa",0.0,0.011665690464158813,0.027649027020993675,0.012045027643076049,0.012057788854181652
"bccabab",0.13430464161924055,0.0,0.0,0.0,0.0
"bccabac",0.0,0.0841395791953704,0.0,0.0,0.0
"bccabba",0.0,0.0841395791953704,0.0,0.0,0.0
"bccacaa",0.07646278083338544,0.0,0.0,0.04946030091175555,0.0
"bccacab",0.0,0.0841395791953704,0.0,0.0,0.0
"bccacba",0.07646278083338544,0.0,0.0,0.04946030091175555,0.0
"bccbaaa",0.08525492260345335,0.05341076247033287,0.0,0.0,0.027602982368972098
"bccbaab",0.07646278083338544,0.0,0.05676737475823546,0.0,0.0
"bccbaba",0.0,0.0841395791953704,0.0,0.0,0.0
"bccbaca",0.0,0.04790263482976461,0.0,0.04946030091175555,0.0
"bccbbab",0.0,0.0841395791953704,0.0,0.0,0.0
"bccbbac",0.0,0.0,0.0,0.0,0.0869676152761377
"bccbbba",0.13430464161924055,0.0,0.0,0.0,0.0
"bccbcaa",0.08525492260345335,0.05341076247033287,0.18988446752781993,0.0,0.0
"bcccaaa",0.07448368019012144,0.011665690464158813,0.08294708106298103,0.0,0.024115577708363305
"bccccaa",0.1705098452069067,0.0,0.15823705627318327,0.027573769095343367,0.0
"caaaabc",0.0,0.0,0.0,0.08687557418043507,0.0
"caaacaa",0.0,0.0,0.0,0.08687557418043507,0.0
"caaacab",0.0,0.0841395791953704,0.0,0.0,0.0
"caaacbb",0.0,0.0841395791953704,0.0,0.0,0.0
"caababc",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"caabacc",0.0,0.0,0.0,0.0,0.0869676152761377
"caabbab",0.0,0.0,0.0,0.08687557418043507,0.0
"caabbbc",0.0,0.04790263482976461,0.0,0.04946030091175555,0.0
"caabbcb",0.0,0.0,0.0,0.0,0.0869676152761377
"caabcab",0.0,0.0841395791953704,0.0,0.0,0.0
"caabcac",0.0,0.0841395791953704,0.0,0.0,0.0
"caabcba",0.0,0.0841395791953704,0.0,0.0,0.0
"caabcca",0.0,0.0,0.0,0.0,0.0869676152761377
"caacaab",0.0,0.0,0.0,0.0,0.0869676152761377
"caacaac",0.0,0.0,0.0,0.0,0.0869676152761377
"caacacb",0.0,0.0,0.0,0.08687557418043507,0.0
"caacbba",0.0,0.04790263482976461,0.0,0.0,0.04951270206515967
"caaccaa",0.0,0.0,0.0997102360059741,0.0,0.0
"caaccbb",0.0,0.0841395791953704,0.0,0.0,0.0
"cabaabc",0.0,0.0,0.0,0.08687557418043507,0.0
"cabaacc",0.0,0.0,0.0,0.08687557418043507,0.0
"cababcc",0.0,0.0,0.0,0.08687557418043507,0.0
"cabbaab",0.0,0.0,0.0,0.0,0.0869676152761377
"cabbcaa",0.04262746130172668,0.0,0.0,0.027573769095343367,0.027602982368972098
"cabcbaa",0.0,0.0841395791953704,0.0,0.0,0.0
"cabcbba",0.0,0.04790263482976461,0.0,0.04946030091175555,0.0
"cabccaa",0.03724184009506072,0.011665690464158813,0.013824513510496838,0.0,0.012057788854181652
"cabccab",0.13430464161924055,0.0,0.0,0.0,0.0
"cacaaaa",0.0,0.0,0.0,0.0,0.0869676152761377
"cacaaab",0.0,0.0,0.0,0.08687557418043507,0.0
"cacaaac",0.0,0.0,0.0,0.0,0.0869676152761377
"cacaabb",0.0,0.0,0.0,0.08687557418043507,0.0
"cacabaa",0.0,0.0841395791953704,0.0,0.0,0.0
"cacabbc",0.0,0.0,0.0,0.0,0.0869676152761377
"cacabca",0.0,0.0,0.0997102360059741,0.0,0.0
"cacacaa",0.0,0.026705381235166435,0.0632948225092733,0.0,0.027602982368972098
"cacbaaa",0.0,0.04790263482976461,0.0,0.04946030091175555,0.0
"cacbbaa",0.04262746130172668,0.0,0.0,0.027573769095343367,0.027602982368972098
"cacbbab",0.0,0.0841395791953704,0.0,0.0,0.0
"cacbbac",0.0,0.1682791583907408,0.0,0.0,0.0
"cacbbca",0.0,0.0841395791953704,0.0,0.0,0.0
"cacbcaa",0.0,0.0841395791953704,0.0,0.0,0.0
"cacbcba",0.0,0.0,0.0,0.08687557418043507,0.0
"caccaaa",0.0,0.0,0.05676737475823546,0.04946030091175555,0.0
"caccaab",0.0,0.026705381235166435,0.03164741125463665,0.0,0.027602982368972098
"caccbaa",0.07646278083338544,0.09580526965952922,0.0,0.0,0.0
"cacccaa",0.0,0.0841395791953704,0.0,0.0,0.0
"cbaaaac",0.0,0.0841395791953704,0.0,0.0,0.0
"cbaaacc",0.0,0.0,0.0,0.04946030091175555,0.04951270206515967
"cbaabba",0.0,0.0841395791953704,0.0,0.0,0.0
"cbaacab",0.0,0.0,0.0997102360059741,0.0,0.0
"cbaacbb",0.0,0.0841395791953704,0.0,0.0,0.0
"cbaacca",0.0,0.04790263482976461,0.0,0.0,0.04951270206515967
"cbababa",0.0,0.0,0.0,0.0,0.0869676152761377
"cbababb",0.0,0.0,0.0,0.08687557418043507,0.0
"cbabaca",0.0,0.0,0.0,0.0,0.0869676152761377
"cbabacb",0.0,0.0841395791953704,0.0,0.0,0.0
"cbabcaa",0.07646278083338544,0.0,0.0,0.04946030091175555,0.0
"cbacaaa",0.13430464161924055,0.0,0.0,0.0,0.0
"cbacaca",0.0,0.0841395791953704,0.0,0.0,0.0
"cbacbaa",0.0,0.0841395791953704,0.0,0.0,0.0
"cbacbac",0.13430464161924055,0.0,0.0,0.0,0.0
"cbacbba",0.07646278083338544,0.0,0.05676737475823546,0.0,0.0
"cbaccaa",0.04262746130172668,0.026705381235166435,0.0,0.027573769095343367,0.0
"cbaccab",0.0,0.0841395791953704,0.0,0.0,0.0
"cbaccba",0.0,0.0841395791953704,0.0,0.0,0.0
"cbbaaab",0.0,0.0,0.0,0.0,0.0869676152761377
"cbbaaac",0.0,0.0841395791953704,0.0,0.0,0.0
"cbbaabb",0.0,0.0,0.05676737475823546,0.0,0.04951270206515967
"cbbaaca",0.0,0.0,0.05676737475823546,0.04946030091175555,0.0
"cbbabaa",0.0,0.09580526965952922,0.05676737475823546,0.0,0.0
"cbbacaa",0.0,0.04790263482976461,0.05676737475823546,0.0,0.0
"cbbacac",0.0,0.0,0.0,0.0,0.0869676152761377
"cbbbaab",0.0,0.04790263482976461,0.0,0.04946030091175555,0.0
"cbbbaac",0.0,0.0841395791953704,0.0,0.0,0.0
"cbbbabc",0.0,0.0,0.0,0.08687557418043507,0.0
"cbbbbba",0.0,0.0,0.05676737475823546,0.04946030091175555,0.0
"cbbbbbb",0.0,0.0,0.0,0.08687557418043507,0.0
"cbbbcaa",0.01862092004753036,0.023331380928317626,0.013824513510496838,0.024090055286152098,0.0
"cbbcaaa",0.15292556166677088,0.0,0.05676737475823546,0.0,0.0
"cbbcaac",0.0,0.0,0.0,0.08687557418043507,0.0
"cbbcaba",0.0,0.0,0.0,0.08687557418043507,0.0
"cbbcbaa",0.07646278083338544,0.09580526965952922,0.0,0.0,0.0
"cbbcbba",0.0,0.0,0.0997102360059741,0.0,0.0
"cbbccaa",0.07646278083338544,0.0,0.0,0.04946030091175555,0.0
"cbcaaac",0.0,0.0,0.0,0.0,0.0869676152761377
"cbcaabb",0.0,0.0,0.0,0.08687557418043507,0.0
"cbcabaa",0.0,0.1682791583907408,0.0,0.0,0.0
"cbcabab",0.0,0.0,0.0,0.08687557418043507,0.0
"cbcacaa",0.0,0.0,0.0632948225092733,0.027573769095343367,0.027602982368972098
"cbcacab",0.13430464161924055,0.0,0.0,0.0,0.0
"cbcbaaa",0.0,0.1682791583907408,0.0,0.0,0.0
"cbcbaca",0.0,0.0,0.0,0.0,0.0869676152761377
"cbcbbab",0.07646278083338544,0.0,0.0,0.0,0.04951270206515967
"cbcbcaa",0.0,0.0,0.0997102360059741,0.0,0.0
"cbcbcca",0.0,0.0,0.0,0.08687557418043507,0.0
"cbccaaa",0.0,0.0,0.11353474951647093,0.04946030091175555,0.0
"cbccaab",0.0,0.0,0.0,0.0,0.0869676152761377
"cbccaba",0.0,0.0,0.0997102360059741,0.0,0.0
"cbccbab",0.0,0.0,0.0,0.08687557418043507,0.0
